what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1411720398852
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1411720406112
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1411720408072
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1411720418746
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1411720420688
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1411720426080
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1411720428920
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411720453746
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1411720459857
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411720465330
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720622297
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720684020
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1411720763646
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720775970
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720784673
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411720788688
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1411720790528
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720796049
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720801566
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411720801639
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411720801699
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1411720803799
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411720804789
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720811748
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720839621
