what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1411716651347
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1411716676501
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1411716682316
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1411716687106
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1411716689082
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1411716697121
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1411716729017
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411716745621
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411716869558
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411716903933
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411716907002
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411716908442
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411716916586
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411718958541
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411718960741
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411719713340
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411719715060
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411719725955
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411719805507
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720037371
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1411720039052
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720045173
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720056246
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720061917
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720065249
