what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.ui,1.0.300.v200805152207,org.eclipse.wst.html.ui,1411711538878
started,bundle,org.eclipse.jst.jsp.core,1.2.100.v200806050300,org.eclipse.jst.jsp.core,1411711538928
started,bundle,org.eclipse.wst.wsdl.validation,1.1.301.v200805140300,org.eclipse.wst.wsdl.validation,1411711539118
started,bundle,org.eclipse.wst.xsd.core,1.1.300.v200805282012,org.eclipse.wst.xsd.core,1411711539118
started,bundle,org.eclipse.jdt.apt.core,3.3.100.v20080513-1235,org.eclipse.jdt.apt.core,1411711539158
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1411711539158
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411711539218
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1411711578194
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1411711579224
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1411711579224
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1411711579384
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411711581666
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411711586408
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411711587138
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411711587208
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1411711587608
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.selectAll,1411711588538
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411711590744
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411711601205
started,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080603,org.eclipse.pde.api.tools.ui,1411711606445
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1411711606455
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1411711606665
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1411711606695
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1411711606695
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1411711633506
